Algorithm;LoadFactor;Trial;OpType;AvgTimeNs;AvgProbes
RobinHood;0,50;9;Insert;36;0,31
RobinHood;0,50;9;Search;34;0,74
RobinHood;0,50;9;ClusteredSearch;12;0,71
RobinHood;0,50;10;Insert;29;0,31
RobinHood;0,50;10;Search;33;0,74
RobinHood;0,50;10;ClusteredSearch;13;0,74
RobinHood;0,50;11;Insert;29;0,31
RobinHood;0,50;11;Search;36;0,74
RobinHood;0,50;11;ClusteredSearch;37;0,75
RobinHood;0,50;12;Insert;56;0,31
RobinHood;0,50;12;Search;36;0,75
RobinHood;0,50;12;ClusteredSearch;13;0,83
RobinHood;0,50;13;Insert;28;0,31
RobinHood;0,50;13;Search;36;0,75
RobinHood;0,50;13;ClusteredSearch;18;0,63
RobinHood;0,50;14;Insert;38;0,31
RobinHood;0,50;14;Search;34;0,76
RobinHood;0,50;14;ClusteredSearch;12;0,75
RobinHood;0,50;15;Insert;28;0,32
RobinHood;0,50;15;Search;33;0,74
RobinHood;0,50;15;ClusteredSearch;11;0,81
RobinHood;0,50;16;Insert;28;0,31
RobinHood;0,50;16;Search;39;0,75
RobinHood;0,50;16;ClusteredSearch;17;0,76
RobinHood;0,50;17;Insert;28;0,31
RobinHood;0,50;17;Search;32;0,74
RobinHood;0,50;17;ClusteredSearch;11;0,74
RobinHood;0,50;18;Insert;28;0,31
RobinHood;0,50;18;Search;33;0,77
RobinHood;0,50;18;ClusteredSearch;11;0,79
RobinHood;0,50;19;Insert;28;0,31
RobinHood;0,50;19;Search;33;0,75
RobinHood;0,50;19;ClusteredSearch;11;0,73
RobinHood;0,50;20;Insert;31;0,31
RobinHood;0,50;20;Search;34;0,74
RobinHood;0,50;20;ClusteredSearch;11;0,67
RobinHood;0,50;21;Insert;34;0,31
RobinHood;0,50;21;Search;37;0,74
RobinHood;0,50;21;ClusteredSearch;12;0,66
RobinHood;0,50;22;Insert;29;0,31
RobinHood;0,50;22;Search;34;0,74
RobinHood;0,50;22;ClusteredSearch;12;0,67
RobinHood;0,50;23;Insert;28;0,32
RobinHood;0,50;23;Search;33;0,75
RobinHood;0,50;23;ClusteredSearch;11;0,73
RobinHood;0,50;24;Insert;28;0,31
RobinHood;0,50;24;Search;33;0,76
RobinHood;0,50;24;ClusteredSearch;12;0,77
RobinHood;0,50;25;Insert;28;0,30
RobinHood;0,50;25;Search;32;0,72
RobinHood;0,50;25;ClusteredSearch;11;0,67
RobinHood;0,50;26;Insert;72;0,31
RobinHood;0,50;26;Search;54;0,76
RobinHood;0,50;26;ClusteredSearch;21;0,71
RobinHood;0,50;27;Insert;40;0,31
RobinHood;0,50;27;Search;47;0,75
RobinHood;0,50;27;ClusteredSearch;15;0,66
RobinHood;0,50;28;Insert;39;0,31
RobinHood;0,50;28;Search;36;0,76
RobinHood;0,50;28;ClusteredSearch;12;0,72
RobinHood;0,50;29;Insert;32;0,31
RobinHood;0,50;29;Search;35;0,76
RobinHood;0,50;29;ClusteredSearch;50;0,84
RobinHood;0,50;30;Insert;84;0,31
RobinHood;0,50;30;Search;87;0,76
RobinHood;0,50;30;ClusteredSearch;57;0,84
LinearProbing;0,80;1;Insert;51;1,98
LinearProbing;0,80;1;Search;105;11,76
LinearProbing;0,80;1;ClusteredSearch;78;10,00
LinearProbing;0,80;2;Insert;74;1,97
LinearProbing;0,80;2;Search;108;11,78
LinearProbing;0,80;2;ClusteredSearch;147;10,63
LinearProbing;0,80;3;Insert;65;1,99
LinearProbing;0,80;3;Search;134;11,70
LinearProbing;0,80;3;ClusteredSearch;146;22,12
LinearProbing;0,80;4;Insert;72;2,01
LinearProbing;0,80;4;Search;110;11,94
LinearProbing;0,80;4;ClusteredSearch;76;9,86
LinearProbing;0,80;5;Insert;80;2,04
LinearProbing;0,80;5;Search;118;12,52
LinearProbing;0,80;5;ClusteredSearch;65;7,58
LinearProbing;0,80;6;Insert;55;1,95
LinearProbing;0,80;6;Search;105;11,65
LinearProbing;0,80;6;ClusteredSearch;101;9,16
LinearProbing;0,80;7;Insert;104;1,97
LinearProbing;0,80;7;Search;149;11,70
LinearProbing;0,80;7;ClusteredSearch;186;16,51
LinearProbing;0,80;8;Insert;75;1,99
LinearProbing;0,80;8;Search;113;11,78
LinearProbing;0,80;8;ClusteredSearch;60;7,04
LinearProbing;0,80;9;Insert;71;2,09
LinearProbing;0,80;9;Search;214;12,73
LinearProbing;0,80;9;ClusteredSearch;291;22,02
LinearProbing;0,80;10;Insert;64;1,98
LinearProbing;0,80;10;Search;151;11,81
LinearProbing;0,80;10;ClusteredSearch;82;10,92
LinearProbing;0,80;11;Insert;70;2,00
LinearProbing;0,80;11;Search;114;12,51
LinearProbing;0,80;11;ClusteredSearch;80;10,47
LinearProbing;0,80;12;Insert;44;1,95
LinearProbing;0,80;12;Search;123;11,63
LinearProbing;0,80;12;ClusteredSearch;69;8,57
LinearProbing;0,80;13;Insert;62;1,95
LinearProbing;0,80;13;Search;178;11,24
LinearProbing;0,80;13;ClusteredSearch;67;8,27
LinearProbing;0,80;14;Insert;35;2,10
LinearProbing;0,80;14;Search;112;12,41
LinearProbing;0,80;14;ClusteredSearch;92;12,59
LinearProbing;0,80;15;Insert;33;1,93
LinearProbing;0,80;15;Search;117;11,98
LinearProbing;0,80;15;ClusteredSearch;89;11,55
LinearProbing;0,80;16;Insert;34;2,01
LinearProbing;0,80;16;Search;121;11,96
LinearProbing;0,80;16;ClusteredSearch;71;8,59
LinearProbing;0,80;17;Insert;44;1,95
LinearProbing;0,80;17;Search;105;11,63
LinearProbing;0,80;17;ClusteredSearch;76;10,34
LinearProbing;0,80;18;Insert;43;1,97
LinearProbing;0,80;18;Search;113;11,91
LinearProbing;0,80;18;ClusteredSearch;74;9,23
LinearProbing;0,80;19;Insert;43;2,00
LinearProbing;0,80;19;Search;162;12,04
LinearProbing;0,80;19;ClusteredSearch;149;6,23
LinearProbing;0,80;20;Insert;65;2,03
LinearProbing;0,80;20;Search;116;12,69
LinearProbing;0,80;20;ClusteredSearch;93;12,41
LinearProbing;0,80;21;Insert;44;1,96
LinearProbing;0,80;21;Search;156;11,66
LinearProbing;0,80;21;ClusteredSearch;174;9,22
LinearProbing;0,80;22;Insert;94;2,02
LinearProbing;0,80;22;Search;105;11,77
LinearProbing;0,80;22;ClusteredSearch;107;9,86
LinearProbing;0,80;23;Insert;61;1,96
LinearProbing;0,80;23;Search;223;11,41
LinearProbing;0,80;23;ClusteredSearch;89;9,28
LinearProbing;0,80;24;Insert;96;2,04
LinearProbing;0,80;24;Search;112;11,60
LinearProbing;0,80;24;ClusteredSearch;130;18,40
LinearProbing;0,80;25;Insert;89;1,95
LinearProbing;0,80;25;Search;109;11,80
LinearProbing;0,80;25;ClusteredSearch;92;12,11
LinearProbing;0,80;26;Insert;52;2,02
LinearProbing;0,80;26;Search;107;12,05
LinearProbing;0,80;26;ClusteredSearch;97;13,18
LinearProbing;0,80;27;Insert;45;2,01
LinearProbing;0,80;27;Search;185;12,23
LinearProbing;0,80;27;ClusteredSearch;91;12,82
LinearProbing;0,80;28;Insert;44;2,08
LinearProbing;0,80;28;Search;210;12,69
LinearProbing;0,80;28;ClusteredSearch;248;34,33
LinearProbing;0,80;29;Insert;61;2,02
LinearProbing;0,80;29;Search;97;11,77
LinearProbing;0,80;29;ClusteredSearch;53;7,03
LinearProbing;0,80;30;Insert;71;2,03
LinearProbing;0,80;30;Search;102;12,15
LinearProbing;0,80;30;ClusteredSearch;82;5,56
RobinHood;0,80;1;Insert;67;0,59
RobinHood;0,80;1;Search;77;2,37
RobinHood;0,80;1;ClusteredSearch;63;2,26
RobinHood;0,80;2;Insert;55;0,59
RobinHood;0,80;2;Search;155;2,39
RobinHood;0,80;2;ClusteredSearch;32;2,24
RobinHood;0,80;3;Insert;44;0,58
RobinHood;0,80;3;Search;44;2,37
RobinHood;0,80;3;ClusteredSearch;24;3,40
RobinHood;0,80;4;Insert;46;0,59
RobinHood;0,80;4;Search;51;2,40
RobinHood;0,80;4;ClusteredSearch;20;2,12
RobinHood;0,80;5;Insert;73;0,59
RobinHood;0,80;5;Search;51;2,41
RobinHood;0,80;5;ClusteredSearch;20;2,09
RobinHood;0,80;6;Insert;51;0,59
RobinHood;0,80;6;Search;44;2,35
RobinHood;0,80;6;ClusteredSearch;20;2,06
RobinHood;0,80;7;Insert;59;0,59
RobinHood;0,80;7;Search;116;2,33
RobinHood;0,80;7;ClusteredSearch;42;2,98
RobinHood;0,80;8;Insert;52;0,59
RobinHood;0,80;8;Search;59;2,37
RobinHood;0,80;8;ClusteredSearch;15;1,68
RobinHood;0,80;9;Insert;40;0,59
RobinHood;0,80;9;Search;42;2,44
RobinHood;0,80;9;ClusteredSearch;22;3,29
RobinHood;0,80;10;Insert;53;0,59
RobinHood;0,80;10;Search;40;2,38
RobinHood;0,80;10;ClusteredSearch;20;2,42
RobinHood;0,80;11;Insert;65;0,59
RobinHood;0,80;11;Search;41;2,40
RobinHood;0,80;11;ClusteredSearch;17;2,27
RobinHood;0,80;12;Insert;40;0,59
RobinHood;0,80;12;Search;41;2,39
RobinHood;0,80;12;ClusteredSearch;15;2,21
RobinHood;0,80;13;Insert;39;0,58
RobinHood;0,80;13;Search;50;2,36
RobinHood;0,80;13;ClusteredSearch;17;2,13
RobinHood;0,80;14;Insert;58;0,59
RobinHood;0,80;14;Search;118;2,43
RobinHood;0,80;14;ClusteredSearch;17;2,20
RobinHood;0,80;15;Insert;39;0,58
RobinHood;0,80;15;Search;44;2,39
RobinHood;0,80;15;ClusteredSearch;19;2,39
RobinHood;0,80;16;Insert;40;0,59
RobinHood;0,80;16;Search;38;2,39
RobinHood;0,80;16;ClusteredSearch;15;2,24
RobinHood;0,80;17;Insert;40;0,58
RobinHood;0,80;17;Search;43;2,40
RobinHood;0,80;17;ClusteredSearch;18;2,17
RobinHood;0,80;18;Insert;41;0,58
RobinHood;0,80;18;Search;46;2,37
RobinHood;0,80;18;ClusteredSearch;17;1,86
RobinHood;0,80;19;Insert;57;0,59
RobinHood;0,80;19;Search;89;2,41
RobinHood;0,80;19;ClusteredSearch;17;1,80
RobinHood;0,80;20;Insert;40;0,58
RobinHood;0,80;20;Search;42;2,44
RobinHood;0,80;20;ClusteredSearch;16;2,38
RobinHood;0,80;21;Insert;40;0,59
RobinHood;0,80;21;Search;62;2,39
